," 2"," 3"," 4"," 5"," 6"," 7"," 8"
211860631,Kriptografi,A,3,"7,8",VI,"Eko Aribowo, S.T., M.Kom.",4.1.5.60
211870630,Praktek Magang,A,3,"7,8",VII,"Bambang Robiin, S.T.,M.T.",Daring ( T. Informatika )
211820430,Arsitektur Komputer,E,3,"9,10",II,"Muhammad Aziz, S.T., M.Sc.",4.1.5.55
211860731,Rekayasa Web,A,3,"9,10",VI,"Dinan Yulianto, S.T., M.Eng.",4.1.5.60
211860931,Sistem terdistribusi,A,3,"9,10",VI,"Dr., Ir., Ardi Pujiyanta, M.T.",4.1.5.57
211860120,Manajemen Proyek Teknologi Informasi,A,2,"11,12",VI,"Bambang Robiin, S.T.,M.T.",Daring ( T. Informatika )
AIK-24062,Digitalisasi Hadis,A1,0,"11,12",IV,"Akhsanul Fikri Al Anshori, S.Ag., M.Ag.",4.1.5.55
AIK-24062,Digitalisasi Hadis,B1,0,"11,12",IV,"M. Baihaqi Fadhlil Wafi, M.Ag.",4.1.5.59
AIK-24062,Digitalisasi Hadis,C1,0,"11,12",IV,"Aabidah Ummu Aziizah, S.Pd.I,M.Pd.",4.1.5.60
AIK-24062,Digitalisasi Hadis,D1,0,"11,12",IV,"Suratno, S.Ag., M.Pd.",4.1.7.79
AIK-24062,Digitalisasi Hadis,E1,0,"11,12",IV,"Andi Suseno, S.Th.I., M.Ag.",4.1.5.71
AIK-24062,Digitalisasi Hadis,F1,0,"11,12",IV,Muhammad Alfreda Daib Ihsan Labib,4.1.4.48
Jumat,211820520,Bahasa Indonesia,A,2,"1,2",II,"Yosi Wulandari, S.Pd,M.Pd."
211820520,Bahasa Indonesia,E,2,"1,2",II,"Wachid Eko Purwanto, S.Pd.Wulan Arum Sari, M.Pd.",4.1.5.55
211840131,Analisis dan Perancangan Perangkat Lunak,G,3,"1,2",IV,"Arfiani Nur Khusna, S.T., M.Kom.",4.1.5.57
211860431,Teknologi Multimedia,G,3,"1,2",VI,"Dinan Yulianto, S.T., M.Eng.",4.1.4.49
AIK-24021,Tahsinul Quran,A2,0,"1,2",VI,Fadiya Nur Fithri,4.1.5.59
AIK-24021,Tahsinul Quran,B2,0,"1,2",VI,Fadiya Nur Fithri,4.1.5.59
AIK-24021,Tahsinul Quran,F2,0,"1,2",VI,"Muslim Arma, S.Th.I., M.Ag",4.1.5.70
AIK-24021,Tahsinul Quran,G2,0,"1,2",VI,"Mustika Devi, S.Pd",4.1.5.59
AIK-24021,Tahsinul Quran,H2,0,"1,2",VI,"Mustika Devi, S.Pd",4.1.5.70
211820520,Bahasa Indonesia,B,2,"3,4",II,"Yosi Wulandari, S.Pd,M.Pd.",4.1.4.40
211820820,Pendidikan Kewarganegaraan,A,2,"3,4",II,"Yasir Marzuqi, S.Pd., M.Pd.",Daring ( T. Informatika )
211820820,Pendidikan Kewarganegaraan,E,2,"3,4",II,"Taufik Hidayat, M.Pd",Daring ( T. Informatika )
211840420,Islam Interdisipliner,F,2,"3,4",IV,"Ahmad Fibrianto, M.Pd.",4.1.4.49
211860120,Manajemen Proyek Teknologi Informasi,C,2,"3,4",VI,"Nur Rochmah Dyah PA, S.T., M.Kom.",Daring ( T. Informatika )
211860220,Metodologi Penelitian,D,2,"3,4",VI,"Ir., Herman Yuliansyah, S.T., M.Eng., Ph.D.",Daring ( T. Informatika )
AIK-24021,Tahsinul Quran,C2,0,"3,4",VI,"Muhammad Zaid Adnan, S.Th.I.",4.1.5.59
AIK-24021,Tahsinul Quran,D2,0,"3,4",VI,"Muhammad Zaid Adnan, S.Th.I.",4.1.5.59
AIK-24021,Tahsinul Quran,E2,0,"3,4",VI,"Muslim Arma, S.Th.I., M.Ag",4.1.5.57
211820731,Pemrograman Web,A,3,"7,8",II,"Ir., Herman Yuliansyah, S.T., M.Eng., Ph.D.",4.1.4.40
211820820,Pendidikan Kewarganegaraan,B,2,"7,8",II,"Yasir Marzuqi, S.Pd., M.Pd.",Daring ( T. Informatika )
211840131,Analisis dan Perancangan Perangkat Lunak,A,3,"7,8",IV,"Arfiani Nur Khusna, S.T., M.Kom.",4.1.5.55
211840630,Komunikasi Data dan Jaringan Komputer,G,3,"7,8,9",IV,"Ir., Nuril Anwar, S.T., M.Kom",4.1.5.57
